log_id,time,level,ms_id,message
74,2018-05-31 10:35:29.359,INFO,64068b25-3075-4468-a96f-7a91040ed96d, nova.virt.libvirt.driver   Creating image 
75,2018-05-31 10:35:30.441,WARNING,64068b25-3075-4468-a96f-7a91040ed96d, stevedore.named  Could not load instance_network_info 
76,2018-05-31 10:35:32.353,INFO,a531cd43-e20d-4bdd-8e53-e63c00a9f2ff, nova.api.openstack.compute.server_external_events  Creating event network-changed:None for instance  
77,2018-05-31 10:35:32.365,INFO,a531cd43-e20d-4bdd-8e53-e63c00a9f2ff," nova.osapi_compute.wsgi.server  192.168.111.8 ""POST /v2.1/os-server-external-events HTTP/1.1"" status: 200 len: 460 time: 0.1121690 "
78,2018-05-31 10:35:32.726,WARNING,a531cd43-e20d-4bdd-8e53-e63c00a9f2ff, stevedore.named  Could not load instance_network_info 
79,2018-05-31 10:36:24.970,INFO,64068b25-3075-4468-a96f-7a91040ed96d," os_vif  Successfully plugged vif VIFBridge(active=False,address=fa:16:3e:f0:9d:3a,bridge_name='qbr62878487-00',has_traffic_filtering=True,id=,network=Network(),plugin='ovs',port_profile=VIFPortProfileBase,preserve_on_delete=False,vif_name='tap62878487-00') "
80,2018-05-31 10:36:25.559,INFO,64068b25-3075-4468-a96f-7a91040ed96d, nova.virt.libvirt.driver   Using config drive 
81,2018-05-31 10:36:25.729,INFO,64068b25-3075-4468-a96f-7a91040ed96d, nova.virt.libvirt.driver   Creating config drive at /var/lib/nova/instances//disk.config 
82,2018-05-31 10:36:28.758,INFO,d2005853-8edf-454f-adef-4a04291a9011, nova.compute.manager   VM Started (Lifecycle Event) 
83,2018-05-31 10:36:28.825,INFO,d2005853-8edf-454f-adef-4a04291a9011, nova.compute.manager   VM Paused (Lifecycle Event) 
84,2018-05-31 10:36:28.955,INFO,d2005853-8edf-454f-adef-4a04291a9011, nova.compute.manager   During sync_power_state the instance has a pending task (spawning). Skip. 
85,2018-05-31 10:36:29.672,INFO,3e1a44c4-581a-42f5-8a96-be792db9b028, nova.api.openstack.compute.server_external_events  Creating event network-vif-plugged: for instance  
86,2018-05-31 10:36:29.693,INFO,3e1a44c4-581a-42f5-8a96-be792db9b028," nova.osapi_compute.wsgi.server  192.168.111.8 ""POST /v2.1/os-server-external-events HTTP/1.1"" status: 200 len: 511 time: 0.1505072 "
87,2018-05-31 10:36:29.700,INFO,d2005853-8edf-454f-adef-4a04291a9011, nova.compute.manager   VM Resumed (Lifecycle Event) 
88,2018-05-31 10:36:29.707,INFO,64068b25-3075-4468-a96f-7a91040ed96d, nova.compute.manager   Took 60.35 seconds to spawn the instance on the hypervisor. 
89,2018-05-31 10:36:29.821,INFO,d2005853-8edf-454f-adef-4a04291a9011, nova.compute.manager   During sync_power_state the instance has a pending task (spawning). Skip. 
90,2018-05-31 10:36:29.822,INFO,d2005853-8edf-454f-adef-4a04291a9011, nova.compute.manager   VM Resumed (Lifecycle Event) 
91,2018-05-31 10:36:30.002,INFO,64068b25-3075-4468-a96f-7a91040ed96d, nova.compute.manager   Took 61.32 seconds to build instance. 
92,2018-06-05 01:57:40.920,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," nova.osapi_compute.wsgi.server  240.0.0.2 ""POST /v2.1/servers HTTP/1.1"" status: 202 len: 796 time: 0.4815609 "
93,2018-06-05 01:57:41.016,INFO,329e13a9-56d6-45ba-a2d1-4c06f95aa47b," nova.osapi_compute.wsgi.server  192.168.111.8 ""GET /v2.1/servers/ HTTP/1.1"" status: 200 len: 1892 time: 0.0861859 "
94,2018-06-05 01:57:41.178,WARNING,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, stevedore.named  Could not load build_instance 
95,2018-06-05 01:57:41.375,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," nova.compute.claims   Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU "
96,2018-06-05 01:57:41.375,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," nova.compute.claims   Total memory: 128524 MB, used: 67072.00 MB "
97,2018-06-05 01:57:41.376,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," nova.compute.claims   memory limit: 192786.00 MB, free: 125714.00 MB "
98,2018-06-05 01:57:41.377,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," nova.compute.claims   Total disk: 2232 GB, used: 820.00 GB "
99,2018-06-05 01:57:41.377,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," nova.compute.claims   disk limit: 2232.00 GB, free: 1412.00 GB "
100,2018-06-05 01:57:41.378,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," nova.compute.claims   Total vcpu: 40 VCPU, used: 48.00 VCPU "
101,2018-06-05 01:57:41.379,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," nova.compute.claims   vcpu limit: 640.00 VCPU, free: 592.00 VCPU "
102,2018-06-05 01:57:41.381,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, nova.compute.claims   Claim successful 
103,2018-06-05 01:57:41.576,WARNING,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, nova.scheduler.client.report  Unable to refresh my resource provider record 
104,2018-06-05 01:57:41.748,WARNING,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, nova.scheduler.client.report  Unable to refresh my resource provider record 
105,2018-06-05 01:57:42.047,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, nova.virt.libvirt.driver   Creating image 
106,2018-06-05 01:57:43.419,WARNING,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, stevedore.named  Could not load instance_network_info 
107,2018-06-05 01:57:45.460,INFO,4e854bef-2c50-4885-b809-38d6f6d061d0, nova.api.openstack.compute.server_external_events  Creating event network-changed:None for instance  
108,2018-06-05 01:57:45.478,INFO,4e854bef-2c50-4885-b809-38d6f6d061d0," nova.osapi_compute.wsgi.server  240.0.0.2 ""POST /v2.1/os-server-external-events HTTP/1.1"" status: 200 len: 460 time: 0.2389631 "
109,2018-06-05 01:57:45.827,WARNING,4e854bef-2c50-4885-b809-38d6f6d061d0, stevedore.named  Could not load instance_network_info 
110,2018-06-05 01:58:46.882,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89," os_vif  Successfully plugged vif VIFBridge(active=False,address=fa:16:3e:28:93:f1,bridge_name='qbrc5a99d9a-af',has_traffic_filtering=True,id=,network=Network(),plugin='ovs',port_profile=VIFPortProfileBase,preserve_on_delete=False,vif_name='tapc5a99d9a-af') "
111,2018-06-05 01:58:47.343,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, nova.virt.libvirt.driver   Using config drive 
112,2018-06-05 01:58:47.512,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, nova.virt.libvirt.driver   Creating config drive at /var/lib/nova/instances//disk.config 
113,2018-06-05 01:58:49.149,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   VM Started (Lifecycle Event) 
114,2018-06-05 01:58:49.220,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   VM Paused (Lifecycle Event) 
115,2018-06-05 01:58:49.357,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   During sync_power_state the instance has a pending task (spawning). Skip. 
116,2018-06-05 01:58:50.890,INFO,29d1b45f-422d-4b7e-8512-fc0d80fdc106, nova.api.openstack.compute.server_external_events  Creating event network-vif-plugged: for instance  
117,2018-06-05 01:58:50.904,INFO,29d1b45f-422d-4b7e-8512-fc0d80fdc106," nova.osapi_compute.wsgi.server  192.168.111.8 ""POST /v2.1/os-server-external-events HTTP/1.1"" status: 200 len: 511 time: 0.1294901 "
118,2018-06-05 01:58:50.915,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   VM Resumed (Lifecycle Event) 
119,2018-06-05 01:58:50.923,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, nova.compute.manager   Took 68.88 seconds to spawn the instance on the hypervisor. 
120,2018-06-05 01:58:51.050,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   During sync_power_state the instance has a pending task (spawning). Skip. 
121,2018-06-05 01:58:51.051,INFO,380cc2eb-f3a2-4406-aa55-c2a17ca5e287, nova.compute.manager   VM Resumed (Lifecycle Event) 
122,2018-06-05 01:58:51.094,INFO,72580cff-ee6d-4c38-a2d2-4f7f1e7b8c89, nova.compute.manager   Took 69.74 seconds to build instance. 
123,2018-06-05 01:57:43.129,INFO,229d7512-e160-4e96-b087-21c262a67878," neutron.wsgi  192.168.111.2 - -  ""PUT /v2.0/ports/.json HTTP/1.1"" 200 1297 0.577147 "
124,2018-06-24 08:42:04.449,INFO,0873e8a7-108e-456e-a564-d7a7131e9fcb," nova.osapi_compute.wsgi.server  192.168.111.8 ""POST /v2.1/servers HTTP/1.1"" status: 202 len: 796 time: 0.7407150 "
