time,deploy_id,service,component,event_id,level,ip,log_txt
2018-10-23 09:44:02.989,59442,cf-pdman,cf-pdman,43,INFO,192.169.7.98,"2018-10-23 09:44:02.989 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) _configure_property(all_in_one, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.989,59442,cf-pdman,cf-pdman,44,INFO,192.169.7.98,"2018-10-23 09:44:02.989 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) _configure_property(is_in_controller, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.990,59442,cf-pdman,cf-pdman,45,INFO,192.169.7.98,"2018-10-23 09:44:02.990 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) _configure_property(timestamp, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.990,59442,cf-pdman,cf-pdman,46,INFO,192.169.7.98,"2018-10-23 09:44:02.990 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) _configure_property(lock, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.991,59442,cf-pdman,cf-pdman,47,INFO,192.169.7.98,"2018-10-23 09:44:02.991 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) Identified primary key columns: ColumnSet([Column('id', Integer(), table=<ctrl_switch>, primary_key=True, nullable=False)]) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.991,59442,cf-pdman,cf-pdman,48,INFO,192.169.7.98,"2018-10-23 09:44:02.991 INFO  sqlalchemy.orm.mapper.Mapper (CtrlSwitch|ctrl_switch) constructed req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.994,59442,cf-pdman,cf-pdman,5,INFO,192.169.7.98,"2018-10-23 09:44:02.994 INFO  sqlalchemy.orm.mapper.Mapper (Lock|locks) _configure_property(created_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.994,59442,cf-pdman,cf-pdman,6,INFO,192.169.7.98,"2018-10-23 09:44:02.994 INFO  sqlalchemy.orm.mapper.Mapper (Lock|locks) _configure_property(updated_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.995,59442,cf-pdman,cf-pdman,7,INFO,192.169.7.98,"2018-10-23 09:44:02.995 INFO  sqlalchemy.orm.mapper.Mapper (Lock|locks) _configure_property(id, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.995,59442,cf-pdman,cf-pdman,8,INFO,192.169.7.98,"2018-10-23 09:44:02.995 INFO  sqlalchemy.orm.mapper.Mapper (Lock|locks) _configure_property(name, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
